id,markets,founded in,employees,headquarters,country,total raised (USD),latest_round_amount (USD),latest_round_date,latest_round_type,acquired_by,acquired_at,acquired_amount (USD)
154405,"E-Commerce, Analytics, Big Data > Machine Learning, Technology > Artificial Intelligence",2017.0,6.0,London,United Kingdom,330000.0,330000.0,,,,,
154408,"Internet > Web Development, Big Data, Big Data > Machine Learning > Natural Language Processing, Technology > Data Mining",2009.0,35.0,Zaporizhia,Ukraine,,,,,,,
154590,"Technology > Artificial Intelligence, Dating",,,Bengaluru South,India,500000.0,500000.0,2018-10-11,Seed fund,,,
154596,"Robotics, Technology > Artificial Intelligence",2014.0,,Shenzhen,China,45000000.0,45000000.0,2018-10-10,Venture Capital,,,
154601,"Big Data > Machine Learning, Technology > Artificial Intelligence, Virtual Reality",1870.0,201.0,Hoboken,,,,,,,,
154606,"Robotics, Technology > Artificial Intelligence",,,Hangzhou,China,0.0,0.0,2018-08-15,Angel,,,
154697,"Internet > Cloud Computing, Technology > Artificial Intelligence, Software",,,United States,United States,3200000.0,3200000.0,2018-10-12,Seed fund,,,
154729,"Internet of Things, Transportation > Vehicles > Electric Vehicles, Transportation > Vehicles > Autonomous Vehicles, Big Data > Machine Learning > Deep Learning",2017.0,7.0,İstanbul ,Turkey,,,,,,,
154752,"Services > Customer Service, Technology > Artificial Intelligence",2016.0,2.0,,Sweden,1900000.0,1900000.0,2018-10-15,Seed fund,,,
154809,Technology > Artificial Intelligence,,,India,India,2200000.0,2200000.0,2018-10-16,Series A,,,
154849,"Technology > Artificial Intelligence, Health Care > Medical, Algorithms, Big Data > Machine Learning > Deep Learning",2009.0,20.0,Bergamo,Italy,,,,,,,
154865,"Services > Customer Service, E-Commerce > Ticketing, Technology > Artificial Intelligence, Services > Customer Service > Customer Support Tools",2017.0,,Bellevue,United States,,,,,,,
155165,Big Data > Machine Learning,2011.0,51.0,Menlo Park,United States,,,,,,,
155248,"Internet > Cloud Computing, Internet > Web Development, Technology > Artificial Intelligence, Internet of Things",2012.0,51.0,Indore,India,,,,,,,
155285,"Technology > Artificial Intelligence, Finance > FinTech > Blockchain",,,Manhattan,Singapore,,,,,,,
155286,"Technology > Artificial Intelligence, Energy, Finance > FinTech > Blockchain",,,Fremont,United States,,0.0,2018-10-16,Undisclosed funding,,,
155327,"Internet > Search > Semantic Search, Media > Publishing, Big Data > Machine Learning, Internet > Ediscovery > Content Discovery, Technology > Artificial Intelligence, Travel > Tourism, Internet > Semantic Web, Travel > Travel & Tourism",2013.0,2.0,Salzburg,,,,,,,,
155387,"Technology > Artificial Intelligence, Finance > Financial Services, Finance > Financial Services > Consumer Lending, Finance > FinTech",2017.0,50.0,Manchester,United Kingdom,9210526.0,9210526.0,2019-02-12,Series A,,,
155399,"Big Data > Machine Learning, Technology > Artificial Intelligence, Data Science > Computer Vision",2018.0,,Stockholm,Sweden,0.0,0.0,2018-10-13,Angel,,,
155424,"Technology > Artificial Intelligence, Energy > Energy Efficiency, Industry",,,Paris,France,9302326.0,9302326.0,2018-10-23,Series A,,,
155504,"Technology, Technology > Artificial Intelligence",2016.0,11.0,,,,,,,,,
155506,"Analytics, Big Data, Big Data > Machine Learning",2013.0,51.0,Thiruvananthapuram,,,,,,,,
155507,"Big Data, Big Data > Machine Learning, Big Data > Machine Learning > Deep Learning",2015.0,11.0,Haifa,Israel,,0.0,2019-03-25,Undisclosed funding,,,
155513,"Technology, Big Data, Big Data > Machine Learning, Technology > Artificial Intelligence, Sustainability",2016.0,,,,,,,,,,
